category,rank,entry,avg_weighted,normalized,judges_scored,judges_total,min_weighted,max_weighted
Category A,1,Watchtower,2.8000,0.0000,1,5,2.80,2.80
Category A,,Entry A2,,,0,5,,
Category A,,Entry A3,,,0,5,,
Category A,,Entry A4,,,0,5,,
Category A,,Entry A5,,,0,5,,
Category A,,Entry A6,,,0,5,,
Category A,,Entry A7,,,0,5,,
Category A,,Entry A8,,,0,5,,
Category A,,Entry A9,,,0,5,,
Category A,,Entry A10,,,0,5,,
Category B,,Entry B1,,,0,5,,
Category B,,Entry B2,,,0,5,,
Category B,,Entry B3,,,0,5,,
Category B,,Entry B4,,,0,5,,
Category B,,Entry B5,,,0,5,,
Category B,,Entry B6,,,0,5,,
Category B,,Entry B7,,,0,5,,
Category B,,Entry B8,,,0,5,,
Category B,,Entry B9,,,0,5,,

category,entry,judge,Innovation,Technical Execution,Business Value,Presentation,weighted,z_score
Category A,Watchtower,Judge One,2,3,4,3,2.80,0.0000
Category A,Watchtower,Judge Two,,,,,,
Category A,Watchtower,Judge Three,,,,,,
Category A,Watchtower,Judge Four,,,,,,
Category A,Watchtower,Judge Five,,,,,,
Category A,Entry A2,Judge One,,,,,,
Category A,Entry A2,Judge Two,,,,,,
Category A,Entry A2,Judge Three,,,,,,
Category A,Entry A2,Judge Four,,,,,,
Category A,Entry A2,Judge Five,,,,,,
Category A,Entry A3,Judge One,,,,,,
Category A,Entry A3,Judge Two,,,,,,
Category A,Entry A3,Judge Three,,,,,,
Category A,Entry A3,Judge Four,,,,,,
Category A,Entry A3,Judge Five,,,,,,
Category A,Entry A4,Judge One,,,,,,
Category A,Entry A4,Judge Two,,,,,,
Category A,Entry A4,Judge Three,,,,,,
Category A,Entry A4,Judge Four,,,,,,
Category A,Entry A4,Judge Five,,,,,,
Category A,Entry A5,Judge One,,,,,,
Category A,Entry A5,Judge Two,,,,,,
Category A,Entry A5,Judge Three,,,,,,
Category A,Entry A5,Judge Four,,,,,,
Category A,Entry A5,Judge Five,,,,,,
Category A,Entry A6,Judge One,,,,,,
Category A,Entry A6,Judge Two,,,,,,
Category A,Entry A6,Judge Three,,,,,,
Category A,Entry A6,Judge Four,,,,,,
Category A,Entry A6,Judge Five,,,,,,
Category A,Entry A7,Judge One,,,,,,
Category A,Entry A7,Judge Two,,,,,,
Category A,Entry A7,Judge Three,,,,,,
Category A,Entry A7,Judge Four,,,,,,
Category A,Entry A7,Judge Five,,,,,,
Category A,Entry A8,Judge One,,,,,,
Category A,Entry A8,Judge Two,,,,,,
Category A,Entry A8,Judge Three,,,,,,
Category A,Entry A8,Judge Four,,,,,,
Category A,Entry A8,Judge Five,,,,,,
Category A,Entry A9,Judge One,,,,,,
Category A,Entry A9,Judge Two,,,,,,
Category A,Entry A9,Judge Three,,,,,,
Category A,Entry A9,Judge Four,,,,,,
Category A,Entry A9,Judge Five,,,,,,
Category A,Entry A10,Judge One,,,,,,
Category A,Entry A10,Judge Two,,,,,,
Category A,Entry A10,Judge Three,,,,,,
Category A,Entry A10,Judge Four,,,,,,
Category A,Entry A10,Judge Five,,,,,,
Category B,Entry B1,Judge Six,,,,,,
Category B,Entry B1,Judge Seven,,,,,,
Category B,Entry B1,Judge Eight,,,,,,
Category B,Entry B1,Judge Nine,,,,,,
Category B,Entry B1,Judge Ten,,,,,,
Category B,Entry B2,Judge Six,,,,,,
Category B,Entry B2,Judge Seven,,,,,,
Category B,Entry B2,Judge Eight,,,,,,
Category B,Entry B2,Judge Nine,,,,,,
Category B,Entry B2,Judge Ten,,,,,,
Category B,Entry B3,Judge Six,,,,,,
Category B,Entry B3,Judge Seven,,,,,,
Category B,Entry B3,Judge Eight,,,,,,
Category B,Entry B3,Judge Nine,,,,,,
Category B,Entry B3,Judge Ten,,,,,,
Category B,Entry B4,Judge Six,,,,,,
Category B,Entry B4,Judge Seven,,,,,,
Category B,Entry B4,Judge Eight,,,,,,
Category B,Entry B4,Judge Nine,,,,,,
Category B,Entry B4,Judge Ten,,,,,,
Category B,Entry B5,Judge Six,,,,,,
Category B,Entry B5,Judge Seven,,,,,,
Category B,Entry B5,Judge Eight,,,,,,
Category B,Entry B5,Judge Nine,,,,,,
Category B,Entry B5,Judge Ten,,,,,,
Category B,Entry B6,Judge Six,,,,,,
Category B,Entry B6,Judge Seven,,,,,,
Category B,Entry B6,Judge Eight,,,,,,
Category B,Entry B6,Judge Nine,,,,,,
Category B,Entry B6,Judge Ten,,,,,,
Category B,Entry B7,Judge Six,,,,,,
Category B,Entry B7,Judge Seven,,,,,,
Category B,Entry B7,Judge Eight,,,,,,
Category B,Entry B7,Judge Nine,,,,,,
Category B,Entry B7,Judge Ten,,,,,,
Category B,Entry B8,Judge Six,,,,,,
Category B,Entry B8,Judge Seven,,,,,,
Category B,Entry B8,Judge Eight,,,,,,
Category B,Entry B8,Judge Nine,,,,,,
Category B,Entry B8,Judge Ten,,,,,,
Category B,Entry B9,Judge Six,,,,,,
Category B,Entry B9,Judge Seven,,,,,,
Category B,Entry B9,Judge Eight,,,,,,
Category B,Entry B9,Judge Nine,,,,,,
Category B,Entry B9,Judge Ten,,,,,,
